Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
27-Mar-2017,EQ,"2,426.95","2,440.00","2,406.00","2,427.20","2,411.00","2,412.05","2,418.60","2,744.80","2,051.90",1090635,"2,637,809,010.95",52262
24-Mar-2017,EQ,"2,469.80","2,469.80","2,423.30","2,460.35","2,428.00","2,427.20","2,437.96","2,744.80","2,051.90",2549907,"6,216,581,145.75",53320
23-Mar-2017,EQ,"2,482.00","2,485.05","2,447.20","2,478.95","2,457.95","2,460.35","2,460.01","2,744.80","2,051.90",1310319,"3,223,394,959.05",44174
22-Mar-2017,EQ,"2,480.15","2,496.00","2,469.95","2,486.70","2,472.30","2,478.95","2,480.43","2,744.80","2,051.90",944358,"2,342,413,605.15",33906
21-Mar-2017,EQ,"2,482.00","2,492.00","2,465.00","2,480.00","2,484.85","2,486.70","2,480.49","2,744.80","2,051.90",1686850,"4,184,219,726.50",35144
20-Mar-2017,EQ,"2,525.95","2,525.95","2,466.00","2,525.75","2,476.10","2,480.00","2,484.21","2,744.80","2,051.90",1743770,"4,331,887,420.05",53873
17-Mar-2017,EQ,"2,546.00","2,546.00","2,509.75","2,520.90","2,532.15","2,525.75","2,526.10","2,744.80","2,051.90",1296576,"3,275,280,167.25",68693
16-Mar-2017,EQ,"2,506.00","2,527.00","2,506.00","2,498.30","2,521.95","2,520.90","2,518.82","2,744.80","2,051.90",785909,"1,979,564,854.10",38597
15-Mar-2017,EQ,"2,572.00","2,572.15","2,493.85","2,567.50","2,499.00","2,498.30","2,512.68","2,744.80","2,051.90",1511248,"3,797,287,201.50",80366
14-Mar-2017,EQ,"2,556.80","2,587.15","2,551.05","2,542.25","2,569.85","2,567.50","2,570.09","2,744.80","2,051.90",1701147,"4,372,097,613.20",79617
10-Mar-2017,EQ,"2,519.60","2,549.55","2,513.95","2,519.75","2,542.30","2,542.25","2,538.10","2,744.80","2,051.90",585710,"1,486,590,387.20",40437
09-Mar-2017,EQ,"2,514.15","2,524.00","2,504.05","2,512.20","2,522.00","2,519.75","2,516.57","2,744.80","2,051.90",429234,"1,080,198,640.50",34781
08-Mar-2017,EQ,"2,502.00","2,520.00","2,492.20","2,499.80","2,515.50","2,512.20","2,506.23","2,744.80","2,051.90",895755,"2,244,966,605.40",58118
07-Mar-2017,EQ,"2,482.90","2,505.00","2,475.05","2,472.50","2,505.00","2,499.80","2,494.54","2,744.80","2,051.90",755836,"1,885,463,741.35",40150
06-Mar-2017,EQ,"2,480.00","2,484.00","2,454.55","2,494.05","2,477.40","2,472.50","2,467.59","2,744.80","2,051.90",700347,"1,728,171,968.70",31798
03-Mar-2017,EQ,"2,492.00","2,499.70","2,475.40","2,501.45","2,490.00","2,494.05","2,488.47","2,744.80","2,051.90",506985,"1,261,617,129.00",33930
02-Mar-2017,EQ,"2,486.70","2,510.00","2,470.05","2,479.55","2,503.20","2,501.45","2,497.75","2,744.80","2,051.90",772471,"1,929,438,451.65",44956
01-Mar-2017,EQ,"2,479.90","2,501.90","2,470.00","2,466.25","2,475.30","2,479.55","2,486.14","2,744.80","2,051.90",565187,"1,405,135,909.70",36305
28-Feb-2017,EQ,"2,489.50","2,490.00","2,450.00","2,489.85","2,460.00","2,466.25","2,465.70","2,744.80","2,051.90",1177414,"2,903,153,878.20",58003
27-Feb-2017,EQ,"2,479.10","2,502.00","2,470.05","2,481.80","2,492.00","2,489.85","2,489.22","2,744.80","2,051.90",1069946,"2,663,332,100.20",44416
23-Feb-2017,EQ,"2,415.00","2,493.25","2,415.00","2,411.50","2,479.00","2,481.80","2,467.63","2,744.80","2,051.90",2426676,"5,988,140,300.35",120055
22-Feb-2017,EQ,"2,465.90","2,470.00","2,400.15","2,465.35","2,409.95","2,411.50","2,424.50","2,744.80","2,051.90",2252748,"5,461,797,325.10",101642
21-Feb-2017,EQ,"2,514.00","2,525.90","2,455.15","2,502.20","2,461.50","2,465.35","2,490.33","2,744.80","2,051.90",2750556,"6,849,804,248.20",102552
20-Feb-2017,EQ,"2,425.00","2,555.00","2,408.10","2,407.90","2,505.00","2,502.20","2,478.91","2,744.80","2,051.90",1986974,"4,925,531,623.15",84695
17-Feb-2017,EQ,"2,472.00","2,475.60","2,402.00","2,447.75","2,415.00","2,407.90","2,421.27","2,744.80","2,051.90",1361662,"3,296,953,905.50",64946
16-Feb-2017,EQ,"2,460.00","2,478.00","2,435.60","2,413.70","2,450.00","2,447.75","2,452.74","2,744.80","2,051.90",2087840,"5,120,936,862.50",99962
15-Feb-2017,EQ,"2,397.00","2,428.00","2,375.10","2,406.25","2,423.45","2,413.70","2,405.57","2,744.80","2,051.90",962486,"2,315,327,647.20",57071
14-Feb-2017,EQ,"2,419.65","2,419.65","2,398.00","2,414.25","2,398.15","2,406.25","2,409.94","2,744.80","2,051.90",1016664,"2,450,097,017.95",76040
13-Feb-2017,EQ,"2,396.00","2,429.00","2,382.35","2,397.95","2,409.10","2,414.25","2,410.42","2,744.80","2,051.90",1909906,"4,603,667,356.80",104603
10-Feb-2017,EQ,"2,311.00","2,424.45","2,311.00","2,317.30","2,382.90","2,397.95","2,363.49","2,744.80","2,051.90",2891080,"6,833,046,948.55",145483
09-Feb-2017,EQ,"2,275.00","2,328.00","2,270.20","2,270.95","2,317.00","2,317.30","2,307.82","2,744.80","2,051.90",2016601,"4,653,944,449.75",112590
